城市名,g音
包头,Baotou
东胜,Dongsheng
呼和浩特,Hohhot
古交,Gujiao
太原,Taiyuan
保定,Baoding
邯郸,Handan
廊坊,Langfang
滦县,Luanxian
迁安,Qian'an
迁西,Qianxi
秦皇岛,Qinhuangdao
三河,Sanhe
石家庄,Shijiazhuang
唐山,Tangshan
邢台,Xingtai
北京,Beijing
大连,Dalian
丹东,Dandong
东岗,Donggang
盖州,Gaizhou
普连店,Pulandian
沈阳,Shenyang
瓦房店,Wafangdian
营口,Yingkou
大石桥,Dashiqiao
吉林,Jilin
长春,Changchun
大庆,Daqing
哈尔滨,Harbin
平房,Pingfang
上海,Shanghai
常熟,Changshu
常州,Changzhou
丹阳,Danyang
海安,Hai'an
海门,Haimen
江都,Jiangdu
江阴,Jiangyin
金坛,Jintan
句容,Jurong
昆山,kunshan
溧阳,Liyang
南京,Nanjing
南通,Nantong
启东,Qidong
如东,Rudong
如皋,Rugao
苏州,Suzhou
太仓,Taicang
泰州,Taizhou
通州,Tongzhou
吴江,Wujiang
无锡,Wuxi
吴县,Wuxian
锡山,Xishan
盐城,Yancheng
扬州,Yangzhou
宜兴,Yixing
张家港,Zhangjiagang
镇江,Zhenjiang
合肥,Hefei
六安,Liu'an
铜陵,Tongling
芜湖,Wuhu
安丘,Anqiu
昌邑,Changyi
高密,Gaomi
胶南,Jiaonan
胶州,Jiaozhou
即墨,Jimo
济南,Jinan
莱西,Laixi
莱州,Laizhou
临沂,Linyi
平度,Pingdu
青岛,Qingdao
青州,Qingzhou
日照,Rizhao
荣成,Rongcheng
乳山,Rushan
寿光,Shouguang
潍坊,Weifang
威海,Weihai
文登,Wendeng
章丘,Zhangqiu
诸城,Zhucheng
淄博,Zibo
烟台,Yantai
宝坻,Baodi
汉沽,Hangu
静海,Jinghai
蓟县,Jixian
宁河,Ninghe
塘沽,Tanggu
天津,Tianjin
武清,Wuqing
慈溪,Cixi
东阳,Dongyang
奉化,Fenghua
富阳,Fuyang
海宁,Haining
海盐,Haiyan
杭州,Hangzhou
湖州,Huzhou
嘉善,Jiashan
嘉兴,Jiaxing
金华,Jinhua
临海,Linhai
宁波,Ningbo
平湖,Pinghu
瑞安,Rui'an
上虞,Shangyu
绍兴,Shaoxing
嵊州,Shengzhou
台州,Taizhou
桐庐,Tonglu
桐乡,Tongxiang
温岭,Wenling
温州,Wenzhou
萧山,Xiaoshan
义乌,Yiwu
乐清,Yueqing
余杭,Yuyang
余姚,Yuyao
诸暨,Zhuji
安溪,Anxi
长乐,Changle
德化,Dehua
福清,Fuqing
福州,Fuzhou
惠安,Hui'an
晋江,Jinjiang
龙海,Longhai
南安,Nan'an
莆田,Putian
泉州,Quanzhou
石狮,Shishi
厦门,Xiamen
永春,Yongchun
漳浦,Zhangpu
漳州,Zhangzhou
重庆,Chongqing
合川,Hechuan
江津,Jiangjin
南川,Nanchuan
永川,Yongchuan
长沙,Changsha
湘潭,Xiangtan
株州,Zhuzhou
汉阳,Hanyang
荆州,Jingzhou
沙市,Shashi
武昌,Wuchang
武汉,Wuhan
孝感,Xiaogan
襄樊,Xiangfan
宜昌,Yichang
郑州,Zhengzhou
宝安,Bao'an
博罗,Boluo
潮安,Chao'an
潮阳,Chaoyang
潮州,Chaozhou
澄海,Chenghai
德庆,Deqing
东莞,Dongguan
斗门,Doumen
佛山,Foshan
高要,Gaoyao
广州,Guangzhou
鹤山,Heshan
河源,Heyuan
黄埔,Huangpu
惠东,Huidong
惠州,Huizhou
惠阳,Huiyang
江门,Jiangmen
揭东,Jiedong
揭西,Jiexi
揭阳,Jieyang
开平,Kaiping
龙门,Longmen
梅州,Meizhou
南澳,Nan'ao
南海,Nanhai
番禺,Panyu
普宁,Puning
清远,Qingyuan
汕头,Shantou
蛇口,She Kou
深圳,Shenzhen
顺德,Shunde
四会,Sihui
台山,Taishan
兴宁,Xingning
新会,Xinhui
阳江,Yangjiang
增城,Zengcheng
肇庆,Zhaoqing
中山,Zhongshan
珠海,Zhuhai
贵阳,Guiyang
琼山,Qiongshan
海口,Haikou
成都,Chengdu
江油,Jiangyou
绵阳,Mianyang
双流,Shuangliu
晋宁,Jinning
昆明,Kunming
玉溪,Yuxi
西安,Xi'an
咸阳,Xianyang
阎良,Yanliang
白银,Baiyin
兰州,Lanzhou
乌鲁木齐,Urumqi
南昌,nanchang
南宁,nanning
西宁,xining
银川,yinchuan
锦州,jinzhou
牡丹江,mudanjiang
徐州,xuzhou
蚌埠,bengbu
安庆,anqing
九江,jiujiang
赣州,ganzhou
济宁,jining
洛阳,luoyang
平顶山,pingdingshan
襄阳,xiangyang
岳阳,yueyang
常德,changde
湛江,zhanjiang
韶关,shaoguan
桂林,guilin
北海,beihai
三亚,sanya
泸州,luzhou
南充,nanchong
遵义,zunyi
大理,dali
